id,sexo,edad_cat,region,nivel_educativo,imagen
1,femenino,30-44,Región Pampeana,prim,negativa
2,femenino,45-59,Región Pampeana,prim,positiva
3,masculino,45-59,Región Metropolitana,univ,positiva
4,femenino,16-29,Región Metropolitana,prim,positiva
5,masculino,45-59,Región Patagonia,terc,positiva
6,femenino,45-59,Región Metropolitana,prim,positiva
7,femenino,16-29,Región Metropolitana,prim,negativa
8,femenino,45-59,Región Metropolitana,terc,positiva
9,femenino,16-29,Región Pampeana,prim,positiva
10,masculino,30-44,Región Pampeana,terc,positiva
11,femenino,45-59,Región Metropolitana,sec,positiva
12,masculino,16-29,Región Metropolitana,prim,negativa
13,femenino,60+,Región Metropolitana,prim,negativa
14,masculino,16-29,Región Metropolitana,sec,positiva
15,femenino,16-29,Región Metropolitana,univ,positiva
16,masculino,45-59,Región Patagonia,prim,negativa
17,femenino,30-44,Región Metropolitana,univ,positiva
18,masculino,30-44,Región Pampeana,sec,positiva
19,femenino,30-44,Región Metropolitana,univ,positiva
20,masculino,16-29,Región Metropolitana,prim,positiva
21,femenino,60+,Región NEA,sec,negativa
22,masculino,30-44,Región Metropolitana,terc,positiva
23,femenino,45-59,Región Metropolitana,terc,negativa
24,masculino,30-44,Región Patagonia,prim,negativa
25,masculino,30-44,Región Pampeana,sec,negativa
26,femenino,45-59,Región Metropolitana,prim,negativa
27,femenino,45-59,Región NOA,terc,positiva
28,femenino,16-29,Región Pampeana,univ,positiva
29,masculino,60+,Región NOA,sec,negativa
30,masculino,60+,Región Metropolitana,univ,positiva
31,femenino,30-44,Región Metropolitana,sec,negativa
32,femenino,16-29,Región Metropolitana,univ,positiva
33,femenino,30-44,Región Cuyo,sec,positiva
34,masculino,16-29,Región NEA,sec,positiva
35,masculino,30-44,Región Pampeana,univ,negativa
36,masculino,45-59,Región Pampeana,sec,positiva
37,femenino,30-44,Región Metropolitana,terc,positiva
38,femenino,30-44,Región Metropolitana,sec,negativa
39,masculino,60+,Región NOA,sec,negativa
40,masculino,60+,Región Pampeana,prim,negativa
41,masculino,16-29,Región Patagonia,prim,positiva
42,masculino,60+,Región Metropolitana,sec,negativa
43,masculino,45-59,Región Metropolitana,sec,negativa
44,femenino,60+,Región Metropolitana,prim,negativa
45,femenino,30-44,Región Metropolitana,prim,negativa
46,masculino,16-29,Región Cuyo,sec,negativa
47,masculino,60+,Región Metropolitana,prim,negativa
